eventID,institutionCode,cruiseCode,event,net,station,start_latitude,start_longitude,end_latitude,end_longitude,geodeticDatum,start_eventTime,end_eventTime,haulDuration,trackDistance,solarPosition,diel,day_night_method,samplingProtocol,netSystem,bottomDepthInMeters,bottom_depth_method,meanNetTemperature,minimumDepthInMeters,maximumDepthInMeters,medianDepthInMeters,volumeFiltered,volumeFiltered2,verticalTowHeight,towDistance,meanTowSpeed,netSurfaceArea,netType,codendMesh,netMeshSize,haulType,sector,zone,fieldNotes,validation,validationDescription
BAS_JB11_85_2,BAS,JB11,85,2,A,-57.087,-55.412,-57.064,-55.501,EPSG:4326,16/01/1991 2:25,16/01/1991 4:28,123,NA,-9.760941952,dawn,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,0,200,NA,235000,NA,200,NA,NA,25,RMT25,5,NA,Station,Atlantic,Subantarctic,5L subsample from 39L;,1,NA
BAS_JB11_338_1,BAS,JB11,338,1,B,-53.458,-38.771,-53.581,-38.769,EPSG:4326,28/01/1991 8:45,28/01/1991 10:45,120,NA,14.23052227,day,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,600,800,NA,227600,NA,200,NA,NA,25,RMT25,5,NA,Station,Atlantic,Subantarctic,Alll sampled;,1,NA
BAS_JB11_338_2,BAS,JB11,338,2,B,-53.628,-38.717,-53.708,-38.667,EPSG:4326,NA,NA,NA,NA,NA,NA,NA,stratified oblique trawl,opening-closing,NA,NA,NA,400,600,NA,NA,NA,200,NA,NA,25,RMT25,5,NA,Station,Atlantic,Subantarctic,Failed; Failed,0,missing event date and time
BAS_JB11_341_1,BAS,JB11,341,1,B,-53.593,-38.471,-53.511,-38.642,EPSG:4326,28/01/1991 19:11,28/01/1991 21:11,120,NA,28.72027369,day,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,0,200,NA,NA,NA,200,NA,NA,25,RMT25,5,NA,Station,Atlantic,Subantarctic,Alll sampled;,1,NA
BAS_JB11_346_1,BAS,JB11,346,1,B,-53.491,-38.541,-53.491,-38.608,EPSG:4326,28/01/1991 23:08,29/01/1991 1:08,120,NA,-4.274399221,dusk,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,220,420,NA,235000,NA,200,NA,NA,25,RMT25,5,NA,Station,Atlantic,Subantarctic,Alll sampled;,1,NA
BAS_JB11_349_1,BAS,JB11,349,1,B,-53.623,-38.606,-53.518,-38.745,EPSG:4326,29/01/1991 4:41,29/01/1991 6:40,119,NA,-14.2391501,night,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,0,200,NA,322500,NA,200,NA,NA,25,RMT25,5,NA,Station,Atlantic,Subantarctic,Alll sampled;,1,NA
BAS_JB11_349_2,BAS,JB11,349,2,B,-53.508,-38.714,-53.392,-38.77,EPSG:4326,29/01/1991 7:01,29/01/1991 9:00,119,NA,0.222482476,dawn,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,205,397,NA,345000,NA,192,NA,NA,25,RMT25,5,NA,Station,Atlantic,Subantarctic,Alll sampled;,1,NA
BAS_JB11_351_1,BAS,JB11,351,1,B,-53.647,-38.632,-53.616,-38.867,EPSG:4326,29/01/1991 12:35,29/01/1991 15:34,179,NA,46.12053688,day,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,360,550,NA,315000,NA,190,NA,NA,25,RMT25,5,NA,Station,Atlantic,Subantarctic,Alll sampled;,1,NA
BAS_JB11_364_1,BAS,JB11,364,1,B,-53.635,-38.569,-53.59,-38.703,EPSG:4326,30/01/1991 3:32,30/01/1991 5:32,120,NA,-17.89393166,night,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,390,602,NA,270000,NA,212,NA,NA,25,RMT25,5,NA,Station,Atlantic,Subantarctic,Alll sampled;,1,NA
BAS_JB11_364_2,BAS,JB11,364,2,B,-53.581,-38.702,NA,NA,EPSG:4326,30/01/1991 5:35,30/01/1991 7:35,120,NA,-10.10219844,dawn,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,600,800,NA,317500,NA,200,NA,NA,25,RMT25,5,NA,Station,Atlantic,Subantarctic,Alll sampled;,1,NA
BAS_JB11_372_1,BAS,JB11,372,1,B,-53.398,-38.592,-53.461,-38.843,EPSG:4326,30/01/1991 12:53,30/01/1991 15:40,167,NA,47.96502212,day,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,800,1000,NA,265000,NA,200,NA,NA,25,RMT25,5,NA,Station,Atlantic,Subantarctic,Alll sampled;,1,NA
BAS_JB11_383_1,BAS,JB11,383,1,B,-53.387,-38.566,-53.411,-38.842,EPSG:4326,30/01/1991 22:49,31/01/1991 1:24,155,NA,-2.426574141,dusk,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,800,1000,NA,282500,NA,200,NA,NA,25,RMT25,5,NA,Station,Atlantic,Subantarctic,Alll sampled;,1,NA
BAS_JB11_728_1,BAS,JB11,728,1,NA,-54.746,-39.19,-54.767,-39.2875,EPSG:4326,14/02/1991 4:56,14/02/1991 5:56,60,NA,-17.08534481,night,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,298,330,NA,NA,NA,32,NA,NA,25,RMT25,5,NA,NA,Atlantic,Subantarctic,Alll sampled;,1,NA
BAS_JB11_728_2,BAS,JB11,728,2,NA,-54.778,-39.348,-54.794,-39.447,EPSG:4326,14/02/1991 6:35,14/02/1991 7:35,60,NA,-7.381770523,dawn,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,490,550,NA,NA,NA,60,NA,NA,25,RMT25,5,NA,NA,Atlantic,Subantarctic,1.38 subsample from 6.2;,1,NA
BAS_JB11_734_1,BAS,JB11,734,1,NA,-54.713,-39.216,-54.651,-39.336,EPSG:4326,14/02/1991 12:40,14/02/1991 14:11,91,NA,41.15436406,day,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,780,810,NA,NA,NA,30,NA,NA,25,RMT25,5,NA,NA,Atlantic,Subantarctic,Alll sampled;,1,NA
BAS_JB11_740_1,BAS,JB11,740,1,NA,-54.755,-39.103,-54.8,-39.231,EPSG:4326,14/02/1991 20:12,14/02/1991 21:18,66,NA,16.18142097,day,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,290,315,NA,NA,NA,25,NA,NA,25,RMT25,5,NA,NA,Atlantic,Subantarctic,Alll sampled;,1,NA
BAS_JB11_740_2,BAS,JB11,740,2,NA,-54.804,-39.239,-54.83,-39.308,EPSG:4326,14/02/1991 21:18,14/02/1991 22:18,60,NA,6.885659009,dusk,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,180,250,NA,NA,NA,70,NA,NA,25,RMT25,5,NA,NA,Atlantic,Subantarctic,Alll sampled;,1,NA
BAS_JB11_742_2,BAS,JB11,742,2,NA,-54.764,-39.323,-54.762,-39.413,EPSG:4326,15/02/1991 3:39,15/02/1991 4:39,60,NA,-21.60852843,night,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,595,610,NA,NA,NA,15,NA,NA,25,RMT25,5,NA,NA,Atlantic,Subantarctic,Alll sampled;,1,NA
BAS_JR100_2_1,BAS,JR100,2,1,Test,-53.8107,-44.2341,NA,NA,EPSG:4326,11/03/2004 13:00,NA,NA,NA,33.39108355,day,maptools R,NA,opening-closing,NA,underway,NA,NA,NA,NA,NA,NA,NA,NA,NA,"horizontal 12 m, vertical 7 m",IYGPT,10,NA,Test,Atlantic,Subantarctic,Doors wrapped around each other;,0,see fieldNotes
BAS_JR100_3_1,BAS,JR100,3,1,Test,-53.9358,-43.9123,NA,NA,EPSG:4326,11/03/2004 17:00,NA,NA,NA,34.3277359,day,maptools R,NA,opening-closing,NA,underway,NA,NA,NA,NA,NA,NA,NA,NA,NA,"horizontal 12 m, vertical 7 m",IYGPT,10,NA,Test,Atlantic,Subantarctic,Test trawl with 400 m warp;,1,NA
BAS_JR100_10_1,BAS,JR100,10,1,Test,-54.115,-40.9995,NA,NA,EPSG:4326,12/03/2004 9:05,NA,NA,NA,4.371498106,dawn,maptools R,NA,opening-closing,NA,underway,NA,NA,NA,NA,NA,NA,NA,NA,NA,"horizontal 12 m, vertical 7 m",IYGPT,10,NA,Test,Atlantic,Subantarctic,Doors wrapped around each other;,0,see fieldNotes
BAS_JR100_118_1,BAS,JR100,118,1,P8,-53.5414,-38.2191,NA,NA,EPSG:4326,20/03/2004 18:51,20/03/2004 20:22,91,NA,15.69859454,day,maptools R,NA,opening-closing,NA,underway,NA,0,250,NA,707070,NA,250,NA,NA,"horizontal 12 m, vertical 7 m",IYGPT,10,NA,Target,Atlantic,Subantarctic,NA,1,NA
BAS_JR100_148_1,BAS,JR100,148,1,,-53.77468,-37.92463,-53.79244,-37.93589,EPSG:4326,25/03/2004 22:10,25/03/2004 22:35,25,NA,-15.25110297,night,NA,NA,opening-closing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,RMT 8,NA,4.5,NA,Atlantic,Subantarctic,NA,1,NA
BAS_JR100_149_1,BAS,JR100,149,1,,-53.80135,-37.94304,-53.81329,-37.96486,EPSG:4326,26/03/2004 0:22,26/03/2004 0:48,26,NA,-31.44476924,night,NA,NA,opening-closing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,RMT 8,NA,4.5,NA,Atlantic,Subantarctic,NA,1,NA
BAS_JR100_171_2,BAS,JR100,171,2,,-53.49471,-39.31329,-53.49212,-39.36376,EPSG:4326,28/03/2004 0:32,28/03/2004 2:05,93,NA,-32.89582109,night,NA,NA,opening-closing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,RMT 8,NA,4.5,NA,Atlantic,Subantarctic,NA,1,NA
BAS_JR100_183_2,BAS,JR100,183,2,,-53.77382,-38.53641,-53.77382,-38.53641,EPSG:4326,28/03/2004 20:29,28/03/2004 20:42,13,NA,-0.979229997,dusk,NA,NA,opening-closing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,RMT 8,NA,4.5,NA,Atlantic,Subantarctic,NA,1,NA
BAS_JR100_186_2,BAS,JR100,186,2,,-53.72837,-38.64465,-53.71554,-38.68024,EPSG:4326,29/03/2004 0:33,29/03/2004 1:02,29,NA,-33.45051443,night,NA,NA,opening-closing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,RMT 8,NA,4.5,NA,Atlantic,Subantarctic,NA,1,NA
BAS_JR100_194_1,BAS,JR100,194,1,,-53.40341,-38.65993,-53.40201,-38.66486,EPSG:4326,29/03/2004 8:01,29/03/2004 8:05,4,NA,-8.521454217,dawn,NA,NA,opening-closing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,RMT 8,NA,4.5,NA,Atlantic,Subantarctic,NA,1,NA
BAS_JR200_39_1,BAS,JR200,39,1,,-60.20141,-44.48903,-60.20355,-44.46639,EPSG:4326,18/03/2009 22:11,18/03/2009 22:27,16,NA,-7.428354343,dusk,NA,NA,opening-closing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,RMT 8,NA,4.5,NA,Atlantic,Antarctic,NA,1,NA
BAS_JR200_63_1,BAS,JR200,63,1,,-59.64454,-44.24516,-59.62546,-44.24062,EPSG:4326,21/03/2009 0:23,21/03/2009 0:43,20,NA,-22.8485387,night,NA,NA,opening-closing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,RMT 8,NA,4.5,NA,Atlantic,Antarctic,NA,1,NA
BAS_JR200_63_2,BAS,JR200,63,2,,-59.62504,-44.24056,-59.60992,-44.23998,EPSG:4326,21/03/2009 0:44,21/03/2009 0:59,15,NA,-24.64341723,night,NA,NA,opening-closing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,RMT 8,NA,4.5,NA,Atlantic,Antarctic,NA,1,NA
BAS_JR200_106_2,BAS,JR200,106,2,,-56.9737,-42.34257,-56.97968,-42.34652,EPSG:4326,25/03/2009 21:36,25/03/2009 21:45,9,NA,-7.295284708,dusk,NA,NA,opening-closing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,RMT 8,NA,4.5,NA,Atlantic,Subantarctic,NA,1,NA
BAS_JR200_184_1,BAS,JR200,184,1,,-52.80841,-40.0397,-52.81014,-39.98749,EPSG:4326,4/04/2009 4:42,4/04/2009 5:25,43,NA,-37.00777169,night,NA,NA,opening-closing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RMT25,5,NA,NA,Atlantic,Antarctic,NA,1,NA
BAS_JR200_184_2,BAS,JR200,184,2,,-52.81016,-39.98587,-52.81134,-39.93383,EPSG:4326,4/04/2009 5:26,4/04/2009 6:06,40,NA,-32.3559077,night,NA,NA,opening-closing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RMT25,5,NA,NA,Atlantic,Antarctic,NA,1,NA
BAS_JR200_187_1,BAS,JR200,187,1,,-52.68378,-40.26548,-52.68323,-40.25835,EPSG:4326,4/04/2009 23:46,4/04/2009 23:52,6,NA,-30.91640752,night,NA,NA,opening-closing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,RMT 8,NA,4.5,NA,Atlantic,Antarctic,NA,1,NA
BAS_JR161_41_1,BAS,JR161,41,1,,-57.6762,-50.39388,-57.65669,-50.39395,EPSG:4326,28/10/2006 22:30,28/10/2006 22:56,26,NA,0.81003812,dusk,NA,NA,opening-closing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RMT25,5,NA,NA,Atlantic,Antarctic,NA,1,NA
BAS_JR161_41_2,BAS,JR161,41,2,,-57.64933,-50.39414,-57.62538,-50.39708,EPSG:4326,28/10/2006 23:05,28/10/2006 23:34,29,NA,-3.646622101,dusk,NA,NA,opening-closing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RMT25,5,NA,NA,Atlantic,Antarctic,NA,1,NA
BAS_JR161_222_1,BAS,JR161,222,1,,-55.19423,-41.20242,-55.18227,-41.21873,EPSG:4326,22/11/2006 4:00,22/11/2006 4:25,25,NA,-12.32818418,night,NA,NA,opening-closing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RMT25,5,NA,NA,Atlantic,Subantarctic,NA,1,NA
BAS_JR161_269_1,BAS,JR161,269,1,,-52.86306,-40.09615,-52.90488,-40.10467,EPSG:4326,26/11/2006 23:53,27/11/2006 0:39,46,NA,-8.777513034,dusk,NA,NA,opening-closing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RMT25,5,NA,NA,Atlantic,Antarctic,NA,1,NA
BAS_JR161_269_2,BAS,JR161,269,2,,-52.90519,-40.10473,-52.94853,-40.11158,EPSG:4326,27/11/2006 0:39,27/11/2006 1:26,47,NA,-12.32196056,night,NA,NA,opening-closing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RMT25,5,NA,NA,Atlantic,Antarctic,NA,1,NA
BAS_JR177_358_1,BAS,JR177,358,1,,-50.54134,-33.8862,-50.53061,-33.88686,EPSG:4326,7/02/2008 4:22,7/02/2008 4:42,20,NA,-19.48291819,night,NA,NA,opening-closing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,RMT 8,NA,4.5,NA,Atlantic,Subantarctic,NA,1,NA
AAD_KAXIS_166_MIDOC01-1,AAD,KAXIS,166,MIDOC01-01,KX08,-61.393308,93.488604,-61.298875,93.552244,WGS84,24/01/2016 10:52,24/01/2016 12:21,89,11299.75306,24.75842044,day,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,0.257,963.984,482.1205,2033955.552,NA,963.727,NA,4.070807676,188,IYGPT with MIDOC,0.5,20,Station,Indian,Antarctic,"problems with cable sensors on net meant mouth of net was skewed, and swept volume will not be comparable with other stations; ",0,see fieldNotes
AAD_KAXIS_166_MIDOC01-2,AAD,KAXIS,166,MIDOC01-02,KX08,-61.298747,93.552232,-61.278689,93.553047,WGS84,24/01/2016 12:22,24/01/2016 12:51,29,2283.730541,14.041495,day,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,811.166,966.205,888.6855,411071.4974,NA,155.039,NA,2.479443576,188,IYGPT with MIDOC,0.5,20,Station,Indian,Antarctic,"problems with cable sensors on net meant mouth of net was skewed, and swept volume will not be comparable with other stations; ",0,see fieldNotes
AAD_KAXIS_166_MIDOC01-3,AAD,KAXIS,166,MIDOC01-03,KX08,-61.27855,93.553045,-61.257586,93.552024,WGS84,24/01/2016 12:52,24/01/2016 13:21,29,2398.191365,10.62360328,dusk,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,608.807,813.456,711.1315,431674.4457,NA,204.649,NA,2.601328117,188,IYGPT with MIDOC,0.5,20,Station,Indian,Antarctic,"problems with cable sensors on net meant mouth of net was skewed, and swept volume will not be comparable with other stations; ",0,see fieldNotes
AAD_KAXIS_166_MIDOC01-4,AAD,KAXIS,166,MIDOC01-04,KX08,-61.257445,93.552022,-61.23617,93.550921,WGS84,24/01/2016 13:22,24/01/2016 13:51,29,2416.833062,7.358913552,dusk,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,403.962,609.95,506.956,435029.9511,NA,205.988,NA,2.633418903,188,IYGPT with MIDOC,0.5,20,Station,Indian,Antarctic,"problems with cable sensors on net meant mouth of net was skewed, and swept volume will not be comparable with other stations; ",0,see fieldNotes
AAD_KAXIS_166_MIDOC01-5,AAD,KAXIS,166,MIDOC01-05,KX08,-61.235995,93.550892,-61.214827,93.550358,WGS84,24/01/2016 13:52,24/01/2016 14:21,29,2411.604268,4.305955029,dusk,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,207.922,403.762,305.842,434088.7682,NA,195.84,NA,2.613674117,188,IYGPT with MIDOC,0.5,20,Station,Indian,Antarctic,"problems with cable sensors on net meant mouth of net was skewed, and swept volume will not be comparable with other stations; ",0,see fieldNotes
AAD_KAXIS_166_MIDOC01-6,AAD,KAXIS,166,MIDOC01-06,KX08,-61.214696,93.550358,-61.194571,93.548322,WGS84,24/01/2016 14:22,24/01/2016 14:52,30,2299.723039,1.565074953,dusk,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,0.139,207.454,103.7965,413950.147,NA,207.315,NA,2.472354084,188,IYGPT with MIDOC,0.5,20,Station,Indian,Antarctic,"problems with cable sensors on net meant mouth of net was skewed, and swept volume will not be comparable with other stations; ",0,see fieldNotes
AAD_KAXIS_188_MIDOC02-1,AAD,KAXIS,188,MIDOC02-01,KX09,-61.811024,92.785676,-61.900007,92.661169,WGS84,25/01/2016 0:15,25/01/2016 1:44,89,11991.69075,18.49533812,day,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,0.1,1069.98,535.04,2158504.335,NA,1069.88,NA,4.361606089,188,IYGPT with MIDOC,0.5,20,Station,Indian,Antarctic,"winch and scanmar problems; depth strata are wrong (cod ends 2 and 3 were both at 1200 - 1000 m, 4 was 900 - 600, 5 was 600 - 200, 6 was usual 200 - surface); ",0,see fieldNotes
AAD_KAXIS_188_MIDOC02-2,AAD,KAXIS,188,MIDOC02-02,KX09,-61.900083,92.660963,-61.912746,92.626284,WGS84,25/01/2016 1:45,25/01/2016 2:15,30,2352.056403,28.93535754,day,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,1037.93,1271.59,1154.76,423370.1526,NA,233.66,NA,2.547791853,188,IYGPT with MIDOC,0.5,20,Station,Indian,Antarctic,"winch and scanmar problems; depth strata are wrong (cod ends 2 and 3 were both at 1200 - 1000 m, 4 was 900 - 600, 5 was 600 - 200, 6 was usual 200 - surface); ",0,see fieldNotes
AAD_KAXIS_188_MIDOC02-3,AAD,KAXIS,188,MIDOC02-03,KX09,-61.912809,92.626047,-61.922738,92.589975,WGS84,25/01/2016 2:15,25/01/2016 2:44,29,2241.33628,32.27477562,day,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,953.64,1276.43,1115.035,403440.5303,NA,322.79,NA,2.439843403,188,IYGPT with MIDOC,0.5,20,Station,Indian,Antarctic,"winch and scanmar problems; depth strata are wrong (cod ends 2 and 3 were both at 1200 - 1000 m, 4 was 900 - 600, 5 was 600 - 200, 6 was usual 200 - surface); ",0,see fieldNotes
AAD_KAXIS_188_MIDOC02-4,AAD,KAXIS,188,MIDOC02-04,KX09,-61.922792,92.589739,-61.931573,92.552536,WGS84,25/01/2016 2:45,25/01/2016 3:14,29,2223.844099,35.4492036,day,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,574.607,948.767,761.687,400291.9378,NA,374.16,NA,2.425855784,188,IYGPT with MIDOC,0.5,20,Station,Indian,Antarctic,"winch and scanmar problems; depth strata are wrong (cod ends 2 and 3 were both at 1200 - 1000 m, 4 was 900 - 600, 5 was 600 - 200, 6 was usual 200 - surface); ",0,see fieldNotes
AAD_KAXIS_188_MIDOC02-5,AAD,KAXIS,188,MIDOC02-05,KX09,-61.93163,92.552331,-61.943347,92.514703,WGS84,25/01/2016 3:15,25/01/2016 3:44,29,2406.566417,38.39264587,day,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,206.823,571.828,389.3255,433181.955,NA,365.005,NA,2.625353466,188,IYGPT with MIDOC,0.5,20,Station,Indian,Antarctic,"winch and scanmar problems; depth strata are wrong (cod ends 2 and 3 were both at 1200 - 1000 m, 4 was 900 - 600, 5 was 600 - 200, 6 was usual 200 - surface); ",0,see fieldNotes
AAD_KAXIS_188_MIDOC02-6,AAD,KAXIS,188,MIDOC02-06,KX09,-61.943429,92.514399,-61.955218,92.476335,WGS84,25/01/2016 3:45,25/01/2016 4:15,30,2434.594179,41.02997924,day,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,0.004,204.789,102.3925,438226.9523,NA,204.793,NA,2.642208889,188,IYGPT with MIDOC,0.5,20,Station,Indian,Antarctic,"winch and scanmar problems; depth strata are wrong (cod ends 2 and 3 were both at 1200 - 1000 m, 4 was 900 - 600, 5 was 600 - 200, 6 was usual 200 - surface); ",0,see fieldNotes
AAD_KAXIS_197_MIDOC03-1,AAD,KAXIS,197,MIDOC03-01,KX10,-62.134032,92.00363,-62.19542,91.790395,WGS84,25/01/2016 11:39,25/01/2016 13:18,99,13231.64787,19.72241944,day,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,0.095,1117.96,559.0275,2381696.617,NA,1117.865,NA,4.296012679,188,IYGPT with MIDOC,0.5,20,Station,Indian,Antarctic,NA,1,NA
AAD_KAXIS_197_MIDOC03-2,AAD,KAXIS,197,MIDOC03-02,KX10,-62.195487,91.790205,-62.209159,91.756365,WGS84,25/01/2016 13:19,25/01/2016 13:48,29,2414.237655,8.633605332,dusk,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,809.606,1098.13,953.868,434562.7778,NA,288.524,NA,2.627974857,188,IYGPT with MIDOC,0.5,20,Station,Indian,Antarctic,NA,1,NA
AAD_KAXIS_197_MIDOC03-3,AAD,KAXIS,197,MIDOC03-03,KX10,-62.209255,91.756177,-62.220947,91.72073,WGS84,25/01/2016 13:49,25/01/2016 14:18,29,2321.239605,5.614815574,dusk,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,614.758,805.411,710.0845,417823.1288,NA,190.653,NA,2.524591392,188,IYGPT with MIDOC,0.5,20,Station,Indian,Antarctic,NA,1,NA
